Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,,Proceeds,Comm in USD,,,MTM in USD,Code
Trades,Data,Order,Forex,CAD,USD.CAD,"2021-02-18, 16:30:50","-100,000",1.26732,,126732,-2,,,-36.33304,
Trades,Data,Order,Forex,CAD,USD.CAD,"2021-02-19, 07:15:45","100,000",1.26289,,-126289,-2,,,-106.76452,
Trades,SubTotal,,Forex,CAD,USD.CAD,,0,,,443,-4,,,-143.09756,
Trades,Total,,Forex,CAD,,,,,,443,-4,,,-143.09756, 
Trades,Total,,Forex,USD,,,,,,-143.09756,-4,,,-143.09756, 
Trades,Data,Order,Forex,CHF,USD.CHF,"2021-01-20, 20:16:24",0.5507,0.88975,,-0.489985325,0,,,-0.002836,
Trades,SubTotal,,Forex,CHF,USD.CHF,,0.5507,,,-0.489985325,0,,,-0.002836,
Trades,Total,,Forex,CHF,,,,,,-0.489985325,0,,,-0.002836, 
Trades,Total,,Forex,USD,,,,,,-0.553536422,0,,,-0.002836, 
Trades,Data,Order,Forex,JPY,EUR.JPY,"2021-02-08, 06:05:51","-500,000",127.06,,63530000,-12.05846066,,,1219.237,
Trades,Data,Order,Forex,JPY,EUR.JPY,"2021-02-08, 11:03:11","500,000",126.7,,-63350000,-12.02429534,,,491.285,
Trades,SubTotal,,Forex,JPY,EUR.JPY,,0,,,180000,-24.082756,,,1710.522,
Trades,Data,Order,Forex,JPY,USD.JPY,"2021-01-21, 07:50:21",323,103.395,,-33396.585,-2,,,0.315516,
Trades,Data,Order,Forex,JPY,USD.JPY,"2021-02-10, 15:18:15","1,722",104.655,,-180215.91,-2,,,-0.990251,
Trades,Data,Order,Forex,JPY,USD.JPY,"2021-03-03, 14:52:14","1,168",106.955,,-124923.44,-2,,,0.727869,
Trades,SubTotal,,Forex,JPY,USD.JPY,,3213,,,-338535.935,-6,,,0.053134,
Trades,Total,,Forex,JPY,,,,,,-158535.935,-30.082756,,,1710.575134, 
Trades,Total,,Forex,USD,,,,,,-1502.424865,-30.082756,,,1710.575134, 
Trades,Data,Order,Forex,USD,AUD.USD,"2021-03-23, 09:43:37","1,000,000",0.76789,,-767890,-15.3578,,,-5330,
Trades,Data,Order,Forex,USD,AUD.USD,"2021-03-23, 13:58:28","-1,000,000",0.76524,,765240,-15.3048,,,2680,
Trades,SubTotal,,Forex,USD,AUD.USD,,0,,,-2650,-30.6626,,,-2650,
Trades,Data,Order,Forex,USD,CHF.USD,"2021-01-18, 15:49:36","-4,419",1.12245,,4960.10655,-2,,,-0.66285,
Trades,SubTotal,,Forex,USD,CHF.USD,,-4419,,,4960.10655,-2,,,-0.66285,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-01-07, 05:14:10","20,000",1.22683,,-24536.6,-2,,,1.4,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-01-07, 05:14:24","230,000",1.2267,,-282141,-5.64282,,,46,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-01-13, 18:21:56","250,000",1.21585,,-303962.5,-6.07925,,,-62.5,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-01, 07:44:10","500,000",1.20858,,-604290,-12.0858,,,-1290,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-22, 10:13:29","-125,000",1.21525,,151906.25,-3.038125,,,-68.75,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-22, 12:06:51","-125,000",1.21576,,151970,-3.0394,,,-5,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-22, 12:24:21","-125,000",1.21627,,152033.75,-3.040675,,,58.75,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-22, 14:42:16","-125,000",1.21676,,152095,-3.0419,,,120,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-22, 19:52:39","-125,000",1.21725,,152156.25,-3.043125,,,281.25,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-23, 02:48:43","-125,000",1.21777,,152221.25,-3.044425,,,346.25,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-23, 10:20:05","125,000",1.21485,,-151856.25,-3.037125,,,18.75,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-23, 11:33:22","-125,000",1.21585,,151981.25,-3.039625,,,106.25,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-25, 00:13:38","-125,000",1.21825,,152281.25,-3.045625,,,81.25,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-02-25, 02:59:00","-125,000",1.21876,,152345,-3.0469,,,145,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-03-08, 17:16:45","125,000",1.1849,,-148112.5,-2.96225,,,650,
Trades,Data,Order,Forex,USD,EUR.USD,"2021-03-09, 04:10:15","-125,000",1.18967,,148708.75,-2.974175,,,-53.75,
Trades,SubTotal,,Forex,USD,EUR.USD,,0,,,2799.9,-62.16122,,,374.9,
Trades,Data,Order,Forex,USD,GBP.USD,"2021-02-18, 13:45:02","-300,000",1.3971,,419130,-8.3826,,,-90,
Trades,Data,Order,Forex,USD,GBP.USD,"2021-02-19, 07:55:51","300,000",1.40132,,-420396,-8.40792,,,-66,
Trades,SubTotal,,Forex,USD,GBP.USD,,0,,,-1266,-16.79052,,,-156,
Trades,Data,Order,Forex,USD,NZD.USD,"2021-03-23, 07:34:04","100,000",0.70418,,-70418,-2,,,-431,
Trades,Data,Order,Forex,USD,NZD.USD,"2021-03-24, 16:13:38","100,000",0.69705,,-69705,-2,,,-201,
Trades,Data,Order,Forex,USD,NZD.USD,"2021-04-05, 11:27:53","-200,000",0.70682,,141364,-2.82728,,,140,
Trades,SubTotal,,Forex,USD,NZD.USD,,0,,,1241,-6.82728,,,-492,
Trades,Total,,Forex,USD,,,,,,5085.00655,-118.44162,,,-2923.76285, 
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Bonds,USD,ATI 5 7/8 08/15/23 3.90655939%,"2021-03-23, 11:01:37","-25,000",108.125,108.454002,27031.25,-28.25,-26419.25,583.75,-82.2505,C
Trades,SubTotal,,Bonds,USD,ATI 5 7/8 08/15/23,,-25000,,,27031.25,-28.25,-26419.25,583.75,-82.2505,
Trades,Data,Order,Bonds,USD,BRASKM 6.45 02/03/24 2.56073321%,"2021-02-18, 09:05:08","-200,000",111,111.449997,222000,-168.25,-217667.5,4164.25,-899.994,C
Trades,SubTotal,,Bonds,USD,BRASKM 6.45 02/03/24,,-200000,,,222000,-168.25,-217667.5,4164.25,-899.994,
Trades,Data,Order,Bonds,USD,DSPORT 5 3/8 08/15/26 9.98297021%,"2021-02-04, 15:19:26","10,000",80.7,80.699997,-8070,-10,8080,0,-0.0003,O
Trades,SubTotal,,Bonds,USD,DSPORT 5 3/8 08/15/26,,10000,,,-8070,-10,8080,0,-0.0003,
Trades,Data,Order,Bonds,USD,FLR 3 1/2 12/15/24 2.8723186%,"2021-03-23, 10:49:21","-50,000",102.1,102.279999,51050,-20.75,-49522,1507.25,-89.9995,C
Trades,SubTotal,,Bonds,USD,FLR 3 1/2 12/15/24,,-50000,,,51050,-20.75,-49522,1507.25,-89.9995,
Trades,Data,Order,Bonds,USD,MUR 6 7/8 08/15/24 6.45267506%,"2021-02-04, 15:45:37","10,000",100.5,100.5,-10050,-10,10060,0,0,O
Trades,Data,Order,Bonds,USD,MUR 6 7/8 08/15/24 5.40151583%,"2021-03-29, 10:17:04","-10,000",102,102.498001,10200,-19.75,-10060,120.25,-49.8001,C
Trades,SubTotal,,Bonds,USD,MUR 6 7/8 08/15/24,,0,,,150,-29.75,0,120.25,-49.8001,
Trades,Data,Order,Bonds,USD,SIG 4.7 06/15/24 4.5953793%,"2021-03-10, 09:53:11","50,000",100.25,100,-50125,-47.5,50172.5,0,-125,O
Trades,Data,Order,Bonds,USD,SIG 4.7 06/15/24 4.57111504%,"2021-04-06, 13:03:22","-50,000",100.375,100.519997,50187.5,-36.5,-50172.5,-21.5,-72.4986,C;P
Trades,SubTotal,,Bonds,USD,SIG 4.7 06/15/24,,0,,,62.5,-84,0,-21.5,-197.4986,
Trades,Total,,Bonds,USD,,,,,,292223.75,-341,-285528.75,6354,-1319.543, 
